cfi,contract_type,exercise_style,expiration_date,primary_exchange,shares_per_contract,strike_price,ticker,underlying_ticker
OCASPS,call,american,2025-07-21,BATO,100,400.0,O:SPY250721C00400000,SPY
OCASPS,call,american,2025-07-21,BATO,100,405.0,O:SPY250721C00405000,SPY
OCASPS,call,american,2025-07-21,BATO,100,410.0,O:SPY250721C00410000,SPY
OCASPS,call,american,2025-07-21,BATO,100,415.0,O:SPY250721C00415000,SPY
OCASPS,call,american,2025-07-21,BATO,100,420.0,O:SPY250721C00420000,SPY
OCASPS,call,american,2025-07-21,BATO,100,425.0,O:SPY250721C00425000,SPY
OCASPS,call,american,2025-07-21,BATO,100,430.0,O:SPY250721C00430000,SPY
OCASPS,call,american,2025-07-21,BATO,100,435.0,O:SPY250721C00435000,SPY
OCASPS,call,american,2025-07-21,BATO,100,440.0,O:SPY250721C00440000,SPY
OCASPS,call,american,2025-07-21,BATO,100,445.0,O:SPY250721C00445000,SPY
OCASPS,call,american,2025-07-21,BATO,100,450.0,O:SPY250721C00450000,SPY
OCASPS,call,american,2025-07-21,BATO,100,455.0,O:SPY250721C00455000,SPY
OCASPS,call,american,2025-07-21,BATO,100,460.0,O:SPY250721C00460000,SPY
OCASPS,call,american,2025-07-21,BATO,100,465.0,O:SPY250721C00465000,SPY
OCASPS,call,american,2025-07-21,BATO,100,470.0,O:SPY250721C00470000,SPY
OCASPS,call,american,2025-07-21,BATO,100,475.0,O:SPY250721C00475000,SPY
OCASPS,call,american,2025-07-21,BATO,100,480.0,O:SPY250721C00480000,SPY
OCASPS,call,american,2025-07-21,BATO,100,485.0,O:SPY250721C00485000,SPY
OCASPS,call,american,2025-07-21,BATO,100,490.0,O:SPY250721C00490000,SPY
OCASPS,call,american,2025-07-21,BATO,100,495.0,O:SPY250721C00495000,SPY
OCASPS,call,american,2025-07-21,BATO,100,500.0,O:SPY250721C00500000,SPY
OCASPS,call,american,2025-07-21,BATO,100,505.0,O:SPY250721C00505000,SPY
OCASPS,call,american,2025-07-21,BATO,100,510.0,O:SPY250721C00510000,SPY
OCASPS,call,american,2025-07-21,BATO,100,515.0,O:SPY250721C00515000,SPY
OCASPS,call,american,2025-07-21,BATO,100,520.0,O:SPY250721C00520000,SPY
OCASPS,call,american,2025-07-21,BATO,100,525.0,O:SPY250721C00525000,SPY
OCASPS,call,american,2025-07-21,BATO,100,530.0,O:SPY250721C00530000,SPY
OCASPS,call,american,2025-07-21,BATO,100,535.0,O:SPY250721C00535000,SPY
OCASPS,call,american,2025-07-21,BATO,100,540.0,O:SPY250721C00540000,SPY
OCASPS,call,american,2025-07-21,BATO,100,545.0,O:SPY250721C00545000,SPY
OCASPS,call,american,2025-07-21,BATO,100,550.0,O:SPY250721C00550000,SPY
OCASPS,call,american,2025-07-21,BATO,100,555.0,O:SPY250721C00555000,SPY
OCASPS,call,american,2025-07-21,BATO,100,560.0,O:SPY250721C00560000,SPY
OCASPS,call,american,2025-07-21,BATO,100,565.0,O:SPY250721C00565000,SPY
OCASPS,call,american,2025-07-21,BATO,100,570.0,O:SPY250721C00570000,SPY
OCASPS,call,american,2025-07-21,BATO,100,575.0,O:SPY250721C00575000,SPY
OCASPS,call,american,2025-07-21,BATO,100,580.0,O:SPY250721C00580000,SPY
OCASPS,call,american,2025-07-21,BATO,100,585.0,O:SPY250721C00585000,SPY
OCASPS,call,american,2025-07-21,BATO,100,590.0,O:SPY250721C00590000,SPY
OCASPS,call,american,2025-07-21,BATO,100,591.0,O:SPY250721C00591000,SPY
OCASPS,call,american,2025-07-21,BATO,100,592.0,O:SPY250721C00592000,SPY
OCASPS,call,american,2025-07-21,BATO,100,593.0,O:SPY250721C00593000,SPY
OCASPS,call,american,2025-07-21,BATO,100,594.0,O:SPY250721C00594000,SPY
OCASPS,call,american,2025-07-21,BATO,100,595.0,O:SPY250721C00595000,SPY
OCASPS,call,american,2025-07-21,BATO,100,596.0,O:SPY250721C00596000,SPY
OCASPS,call,american,2025-07-21,BATO,100,597.0,O:SPY250721C00597000,SPY
OCASPS,call,american,2025-07-21,BATO,100,598.0,O:SPY250721C00598000,SPY
OCASPS,call,american,2025-07-21,BATO,100,599.0,O:SPY250721C00599000,SPY
OCASPS,call,american,2025-07-21,BATO,100,600.0,O:SPY250721C00600000,SPY
OCASPS,call,american,2025-07-21,BATO,100,601.0,O:SPY250721C00601000,SPY
OCASPS,call,american,2025-07-21,BATO,100,602.0,O:SPY250721C00602000,SPY
OCASPS,call,american,2025-07-21,BATO,100,603.0,O:SPY250721C00603000,SPY
OCASPS,call,american,2025-07-21,BATO,100,604.0,O:SPY250721C00604000,SPY
OCASPS,call,american,2025-07-21,BATO,100,605.0,O:SPY250721C00605000,SPY
OCASPS,call,american,2025-07-21,BATO,100,606.0,O:SPY250721C00606000,SPY
OCASPS,call,american,2025-07-21,BATO,100,607.0,O:SPY250721C00607000,SPY
OCASPS,call,american,2025-07-21,BATO,100,608.0,O:SPY250721C00608000,SPY
OCASPS,call,american,2025-07-21,BATO,100,609.0,O:SPY250721C00609000,SPY
OCASPS,call,american,2025-07-21,BATO,100,610.0,O:SPY250721C00610000,SPY
OCASPS,call,american,2025-07-21,BATO,100,611.0,O:SPY250721C00611000,SPY
OCASPS,call,american,2025-07-21,BATO,100,612.0,O:SPY250721C00612000,SPY
